store_number,terminal,store_name,sale_id,customerid,sale_date,product_description,sale_start_time,sale_end_time,sale_type,line_number,cashier_number,cashier_name,customer_name,customer_member_level,customer_phone,customer_address,customer_city,customer_zip,product_code,sub_department,sale_qty,sale_price,weight,price,price_split,fs,fsa,tax1,tax2,tax3,tax4,tax5,tax6,tax7,wic,scalable,follow_sub,price_type,product_description,cost,case_size,void_flag,refund_flag,price_modification,store_coupon,vendor_coupon,category,category_description,sub_department_description,vendor_id,vendor_name,package_discount,limited_discount,item_discount_amount,item_discount_percent,elec_store_coupon,qty,total_sales,customer_state,store_address,store_city,store_state,store_zip,store_phone,brand,size,points,redeemed_points,price_modification
725,902,mikes playground,95,,4/29/2025,Choc Pop Tarts 13 ,104656,104711,VOIDED,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,13,1,1,2.99,0,2.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,REG,Choc Pop Tarts 13 ,2.99,1,0,0,0,0,0,2,Breakfast,Grocery,2,Warehouse,0,0,0,0,0,1,2.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,94,,4/29/2025,Choc Pop Tarts 13 ,94904,94907,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,13,1,1,2.99,0,2.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,REG,Choc Pop Tarts 13 ,2.99,1,0,0,0,0,0,2,Breakfast,Grocery,2,Warehouse,0,0,0,0,0,1,2.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,96,,4/29/2025,Choc Pop Tarts 13 ,110220,110236,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,13,1,1,2.99,0,2.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,REG,Choc Pop Tarts 13 ,2.99,1,1,0,0,0,0,2,Breakfast,Grocery,2,Warehouse,0,0,0,0,0,1,2.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,97,,4/29/2025,American Cheese ,132928,133002,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,2100060464,5,1,4.99,0,4.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,American Cheese ,3.99,1,1,0,0,0,0,11,SCO,Dairy,2,Warehouse,0,0,0,0,0,1,4.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,98,,4/29/2025,Duracell Batteries ,134032,134322,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,4133382501,2,1,7.99,0,7.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,Duracell Batteries ,0,0,1,0,0,0,0,11,SCO,Non Food,NULL,NULL,0,0,0,0,0,1,7.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,99,,4/29/2025,Chardene ,135008,135011,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,8500002045,6,-1,-12.99,0,12.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,Chardene ,0,0,0,9,0,0,0,11,SCO,Alcohol,NULL,NULL,0,0,0,0,0,-1,-12.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,100,,4/29/2025,Chicken Breasts ,135316,135401,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,1111097308,3,1,16.99,0,16.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,Chicken Breasts ,0,0,0,0,0,0,0,11,SCO,Meat,NULL,NULL,0,0,0,0,0,1,16.99,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,101,,4/29/2025,No sales,135407,135407,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,,No sales,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,1,0,NULL,123 asy St,Nashville,TN,37206,5555555555,NULL,NULL,0,0,NULL
725,902,mikes playground,102,,4/29/2025,Dozen Eggs ,135431,135703,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,1111060903,5,1,2.29,0,2.99,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,Dozen Eggs ,0,0,0,0,-0.7,0,0,11,SCO,Dairy,NULL,NULL,0,0,0,0,0,1,2.29,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,-0.7
725,902,mikes playground,103,,4/29/2025,7 Up Zero Sugar ,140434,140505,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,6900000300,1,1,9.7,0,9.95,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,REG,7 Up Zero Sugar ,0,1,0,0,0,0.25,0,6,Beverages,Grocery,1,Meat Vendor,0,0,0,0,0,1,9.7,NULL,123 asy St,Nashville,TN,37206,5555555555,,,0,0,NULL
725,902,mikes playground,104,,4/29/2025,Boxed Potates 16 oz,140828,141207,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,160002855,1,1,1.5,0,1.5,1,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,REG,Boxed Potates 16 oz,0,0,0,0,0,0,0,11,SCO,Grocery,NULL,NULL,0,0,0,0,0,1,1.5,NULL,123 asy St,Nashville,TN,37206,5555555555,Betty Crocker,16 oz,0,0,NULL
725,902,mikes playground,105,,4/29/2025,Whoppers 1 box,144453,144544,SALE,1,7,Programmer,NULL,1,NULL,NULL,NULL,NULL,1070002440,1,1,2.39,0,2.39,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,REG,Whoppers 1 box,39.99,24,0,0,0,0,0,14,Data Testing,Grocery,2,Warehouse,0,0,0,0,0,1,2.39,NULL,123 asy St,Nashville,TN,37206,5555555555,Hersheys,1 box,0,0,NULL
